Pagina_PDF,Modello PAL,Frame,Portata Massima Mandata Standard,Portata Massima Mandata Standard unit,Prevalenza Massima Mandata 1,Prevalenza Massima Mandata 1 unit,Portata Massima Ripresa Standard,Portata Massima Ripresa Standard unit,Prevalenza Massima Ripresa FC1,Prevalenza Massima Ripresa FC1 unit,Aria esterna massima freecooling,Aria esterna massima freecooling unit,Rapporto di temperatura minimo2,Rapporto di temperatura minimo2 unit,Portata massima aria esterna con η 1253/4 > 73%,Portata massima aria esterna con η 1253/4 > 73% unit,Potenza frigorifera netta 0% aria esterna3,Potenza frigorifera netta 0% aria esterna3 unit,Potenza assorbita 0% aria esterna3,Potenza assorbita 0% aria esterna3 unit,EER compressori3,Potenza termica 0% aria esterna4,Potenza termica 0% aria esterna4 unit,Potenza assorbita 0% aria esterna4,Potenza assorbita 0% aria esterna4 unit,COP compressori4,Potenza termica 0% aria esterna5,Potenza termica 0% aria esterna5 unit,Potenza assorbita 0% aria esterna5,Potenza assorbita 0% aria esterna5 unit,COP compressori5,Potenza recuperata minima dalla ruota 30% a.e.6,Potenza recuperata minima dalla ruota 30% a.e.6 unit,Potenza frigorifera totale macchina6,Potenza frigorifera totale macchina6 unit,EER minimo sistema riferito ai soli compressori6,Potenza recuperata minima dalla ruota 30% a.e.7,Potenza recuperata minima dalla ruota 30% a.e.7 unit,Potenza termica totale macchina7,Potenza termica totale macchina7 unit,COP minimo sistema riferito ai soli compressori7,Potenza recuperata minima dalla ruota 30% a.e.8,Potenza recuperata minima dalla ruota 30% a.e.8 unit,Potenza termica totale macchina8,Potenza termica totale macchina8 unit,COP minimo sistema riferito ai soli compressori8,Efficienza stagionale in raffreddamento 9,Efficienza stagionale in raffreddamento 9 unit,Efficienza stagionale in riscaldamento 10,Efficienza stagionale in riscaldamento 10 unit,N. compressori / N. circuiti,Modulazione carico,Fluido refrigerante,Valvola espansione,Tipologia ventilatori sezione ventilante esterna,Tipologia ventilatori sezione ventilante mandata,Modulo gas massimo,Potenza termica massima modulo gas,Potenza termica massima modulo gas unit,Efficienza massima sul PCI,Efficienza massima sul PCI unit,1 Prevalenza Massima Mandata,1 Prevalenza Massima Mandata unit,1 Prevalenza Massima Ripresa FC,1 Prevalenza Massima Ripresa FC unit,2 Rapporto di temperatura minimo,2 Rapporto di temperatura minimo unit,3 Potenza frigorifera netta 0% aria esterna,3 Potenza frigorifera netta 0% aria esterna unit,3 Potenza assorbita 0% aria esterna,3 Potenza assorbita 0% aria esterna unit,4 Potenza termica 0% aria esterna,4 Potenza termica 0% aria esterna unit,4 COP compressori,5 Potenza termica 0% aria esterna,5 Potenza termica 0% aria esterna unit,5 Potenza assorbita 0% aria esterna,5 Potenza assorbita 0% aria esterna unit,5 COP compressori,6 Potenza recuperata minima dalla ruota 30% a.e.,6 Potenza recuperata minima dalla ruota 30% a.e. unit,6 Potenza frigorifera totale macchina,6 Potenza frigorifera totale macchina unit,6 EER minimo sistema riferito ai soli compressori,7 Potenza recuperata minima dalla ruota 30% a.e.,7 Potenza recuperata minima dalla ruota 30% a.e. unit,7 Potenza termica totale macchina,7 Potenza termica totale macchina unit,7 COP minimo sistema riferito ai soli compressori,8 Potenza termica totale macchina,8 Potenza termica totale macchina unit,9 Efficienza stagionale in raffreddamento,9 Efficienza stagionale in raffreddamento unit,10 Efficienza stagionale in riscaldamento,10 Efficienza stagionale in riscaldamento unit,Potenza massima assorbita M/FCS,Potenza massima assorbita M/FCS unit,Corrente massima assorbita M/FCS,Corrente massima assorbita M/FCS unit,Spunto massimo M/FCS,Spunto massimo M/FCS unit,Alimentazione
8,0602-300,F,30.0,m3/h,750.0,Pa,30.0,m3/h,700.0,Pa,30.0,m3/h,73.0,%,11.2,m3/h,"166,4",kW,"42,5",kW,"3,9","158,8",kW,"34,5",kW,"4,6","117,2",kW,"29,5",kW,"4,0","51,3",kW,"219,5",kW,"5,2","28,5",kW,"187,3",kW,"5,4","54,8",kW,"172,0",kW,"5,8","138,1",%,"136,9",%,4/2,gradini,R410A,Elettronica,Assiali EC,Plug fan EC,G162,"160,06",kW,"108,0",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0482-270,F,27.0,m3/h,850.0,Pa,27.0,m3/h,650.0,Pa,27.0,m3/h,73.0,%,11.2,m3/h,"138,4",kW,"33,0",kW,"4,2","128,4",kW,"26,1",kW,"4,9","92,4",kW,"23,0",kW,"4,0","46,2",kW,"186,1",kW,"5,6","25,6",kW,"154,0",kW,"5,9","49,3",kW,"141,7",kW,"6,2","143,1",%,"138,7",%,4/2,gradini,R410A,Elettronica,Assiali EC,Plug fan EC,G162,"160,06",kW,"108,0",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0402-230,F,23.0,m3/h,1.1,Pa,23.0,m3/h,650.0,Pa,23.0,m3/h,73.0,%,11.2,m3/h,"120,8",kW,"27,6",kW,"4,4","110,4",kW,"22,3",kW,"4,9","79,2",kW,"19,7",kW,"4,0","39,3",kW,"161,4",kW,"5,8","21,8",kW,"132,2",kW,"5,9","42,0",kW,"121,2",kW,"6,1","145,9",%,"142,9",%,4/2,gradini,R410A,Elettronica,Assiali EC,Plug fan EC,G132,"125,86",kW,"108,0",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0362-203,E,20.3,m3/h,1.1,Pa,20.3,m3/h,700.0,Pa,20.3,m3/h,73.0,%,11.2,m3/h,"102,1",kW,"24,4",kW,"4,2","95,6",kW,"18,8",kW,"5,1","70,6",kW,"16,6",kW,"4,3","34,7",kW,"137,9",kW,"5,6","19,3",kW,"114,9",kW,"6,1","37,0",kW,"107,6",kW,"6,5","120,4",%,"119,7",%,2/2,gradini,R410A,Meccanica,Assiali EC,Plug fan EC,G105,"97,15",kW,"108,4",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0402-203,E,20.3,m3/h,1.1,Pa,20.3,m3/h,700.0,Pa,20.3,m3/h,73.0,%,11.2,m3/h,"111,2",kW,"29,1",kW,"3,8","107,2",kW,"23,5",kW,"4,6","78,2",kW,"20,6",kW,"3,8","34,7",kW,"147,1",kW,"5,1","19,3",kW,"126,5",kW,"5,4","37,0",kW,"115,2",kW,"5,6","143,3",%,"141,2",%,4/2,gradini,R410A,Elettronica,Assiali EC,Plug fan EC,G105,"97,15",kW,"108,4",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0302-173,E,17.3,m3/h,850.0,Pa,17.3,m3/h,650.0,Pa,17.3,m3/h,73.0,%,11.2,m3/h,"87,1",kW,"21,1",kW,"4,1","81,4",kW,"16,2",kW,"5,0","58,2",kW,"14,1",kW,"4,1","29,6",kW,"117,6",kW,"5,6","16,4",kW,"97,8",kW,"6,1","31,6",kW,"89,8",kW,"6,4","119,3",%,"118,4",%,2/2,gradini,R410A,Meccanica,Assiali EC,Plug fan EC,G105,"97,15",kW,"108,4",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0262-154,E,15.4,m3/h,900.0,Pa,15.4,m3/h,650.0,Pa,15.4,m3/h,73.0,%,11.2,m3/h,"77,2",kW,"18,2",kW,"4,2","71,6",kW,"14,1",kW,"5,1","51,4",kW,"12,6",kW,"4,1","26,3",kW,"104,4",kW,"5,7","14,6",kW,"86,2",kW,"6,1","28,1",kW,"79,5",kW,"6,3","129,7",%,"127,3",%,2/2,gradini,R410A,Meccanica,Assiali EC,Plug fan EC,G105,"97,15",kW,"108,4",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0242-135,D,13.5,m3/h,800.0,Pa,13.5,m3/h,600.0,Pa,13.5,m3/h,73.0,%,11.2,m3/h,"68,8",kW,"16,4",kW,"4,2","64,2",kW,"13,1",kW,"4,9","46,0",kW,"11,5",kW,"4,0","23,1",kW,"92,6",kW,"5,7","12,8",kW,"77,0",kW,"5,9","24,6",kW,"70,6",kW,"6,1","121,6",%,119,%,2 / 2,gradini,R410A,Meccanica,Assiali EC,Plug fan EC,G065,"62,93",kW,"108,4",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0262-135,D,13.5,m3/h,800.0,Pa,13.5,m3/h,600.0,Pa,13.5,m3/h,73.0,%,11.2,m3/h,"74,8",kW,"18,7",kW,"4,0","76,4",kW,"15,3",kW,"5,0","49,6",kW,"13,2",kW,"3,8","23,1",kW,"98,7",kW,"5,3","12,8",kW,"89,2",kW,"5,8","24,6",kW,"74,2",kW,"5,6","120,7",%,"118,5",%,2/2,gradini,R410A,Meccanica,Assiali EC,Plug fan EC,G065,"62,93",kW,"108,4",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0202-115,D,11.5,m3/h,900.0,Pa,11.5,m3/h,650.0,Pa,11.5,m3/h,73.0,%,11.2,m3/h,"59,6",kW,"13,9",kW,"4,3","55,4",kW,"11,2",kW,"5,0","39,5",kW,"10,0",kW,"4,0","19,7",kW,"79,9",kW,"5,8","10,9",kW,"66,3",kW,"5,9","21,0",kW,"60,5",kW,"6,0","122,5",%,"120,1",%,2 / 2,gradini,R410A,Meccanica,Assiali EC,Plug fan EC,G065,"62,93",kW,"108,4",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0182-102,C,10.2,m3/h,1.1,Pa,10.2,m3/h,750.0,Pa,10.2,m3/h,73.0,%,10.2,m3/h,"50,6",kW,"12,3",kW,"4,1","47,4",kW,"9,5",kW,"5,0","33,8",kW,"8,4",kW,"4,0","17,4",kW,"68,6",kW,"5,6","9,7",kW,"57,1",kW,"6,0","18,6",kW,"52,4",kW,"6,2","121,6",%,118,%,2 / 2,gradini,R410A,Meccanica,Assiali EC,Plug fan EC,G065,"62,93",kW,"108,0",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0202-102,C,10.2,m3/h,1.1,Pa,10.2,m3/h,750.0,Pa,10.2,m3/h,73.0,%,10.2,m3/h,"56,6",kW,"14,6",kW,"3,9","54,2",kW,"11,5",kW,"4,7","39,0",kW,"10,1",kW,"3,8","17,4",kW,"74,6",kW,"5,1","9,7",kW,"63,9",kW,"5,5","18,6",kW,"57,6",kW,"5,7","120,7",%,"117,9",%,2 / 2,gradini,R410A,Meccanica,Assiali EC,Plug fan EC,G065,"62,93",kW,"108,0",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0201-102,B,10.2,m3/h,1.1,Pa,10.2,m3/h,750.0,Pa,10.2,m3/h,73.0,%,10.2,m3/h,"56,6",kW,"14,7",kW,"3,9","54,0",kW,"11,5",kW,"4,7","39,0",kW,"10,1",kW,"3,8","17,4",kW,"74,6",kW,"5,1","9,7",kW,"63,7",kW,"5,5","18,6",kW,"57,6",kW,"5,7","127,7",%,"133,8",%,2/1,gradini,R410A,Elettronica,Assiali EC,Plug fan EC,G065,"62,93",kW,"108,0",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0181-102,B,10.2,m3/h,1.1,Pa,10.2,m3/h,750.0,Pa,10.2,m3/h,73.0,%,10.2,m3/h,"50,8",kW,"12,3",kW,"4,1","47,0",kW,"9,7",kW,"4,9","33,8",kW,"8,4",kW,"4,0","17,4",kW,"68,8",kW,"5,6","9,7",kW,"56,7",kW,"5,9","18,6",kW,"52,4",kW,"6,2",127,%,"132,4",%,2/1,gradini,R410A,Elettronica,Assiali EC,Plug fan EC,G065,"62,93",kW,"108,0",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0161-090,B,9.0,m3/h,850.0,Pa,9.0,m3/h,650.0,Pa,9.0,m3/h,73.0,%,9.0,m3/h,"46,8",kW,"11,6",kW,"4,0","43,6",kW,"8,7",kW,"5,0","31,1",kW,"7,5",kW,"4,1","15,4",kW,"62,7",kW,"5,4","8,5",kW,"52,1",kW,"6,0","16,4",kW,"47,5",kW,"6,3","130,1",%,"141,5",%,2/1,gradini,R410A,Elettronica,Assiali EC,Plug fan EC,G040,"40,45",kW,"108,0",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0162-090,C,9.0,m3/h,850.0,Pa,9.0,m3/h,650.0,Pa,9.0,m3/h,73.0,%,9.0,m3/h,"46,4",kW,"11,7",kW,"4,0","43,4",kW,"8,7",kW,"5,0","31,1",kW,"7,5",kW,"4,1","15,4",kW,"62,3",kW,"5,3","8,5",kW,"51,9",kW,"5,9","16,4",kW,"47,5",kW,"6,3","125,9",%,"122,3",%,2 / 2,gradini,R410A,Meccanica,Assiali EC,Plug fan EC,G040,"40,45",kW,"108,0",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0141-079,B,7.9,m3/h,800.0,Pa,7.9,m3/h,600.0,Pa,7.9,m3/h,73.0,%,7.9,m3/h,"40,8",kW,"10,0",kW,"4,1","38,0",kW,"7,7",kW,"4,9","27,2",kW,"6,8",kW,"4,0","13,5",kW,"54,7",kW,"5,5","7,5",kW,"45,5",kW,"5,9","14,4",kW,"41,6",kW,"6,1","128,8",%,139,%,2/1,gradini,R410A,Elettronica,Assiali EC,Plug fan EC,G065,"62,9",kW,"105,5",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0142-079,C,7.9,m3/h,800.0,Pa,7.9,m3/h,600.0,Pa,7.9,m3/h,73.0,%,7.9,m3/h,"40,2",kW,"10,1",kW,"4,0","38,0",kW,"7,7",kW,"4,9","27,2",kW,"6,8",kW,"4,0","13,5",kW,"54,1",kW,"5,4","7,5",kW,"45,5",kW,"5,9","14,4",kW,"41,6",kW,"6,1","124,1",%,"125,1",%,2 / 2,gradini,R410A,Meccanica,Assiali EC,Plug fan EC,G040,"40,45",kW,"108,0",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0121-068,B,6.8,m3/h,750.0,Pa,6.8,m3/h,600.0,Pa,6.8,m3/h,73.0,%,6.8,m3/h,"35,6",kW,"8,5",kW,"4,2","32,5",kW,"6,5",kW,"5,0","23,1",kW,"5,7",kW,"4,0","11,6",kW,"47,6",kW,"5,6","6,5",kW,"39,0",kW,"6,0","12,4",kW,"35,5",kW,"6,2","141,5",%,"146,8",%,2/1,gradini,R410A,Elettronica,Assiali EC,Plug fan EC,G065,"62,9",kW,"105,5",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0122-068,C,6.8,m3/h,750.0,Pa,6.8,m3/h,600.0,Pa,6.8,m3/h,73.0,%,6.8,m3/h,"35,8",kW,"8,6",kW,"4,2","32,8",kW,"6,4",kW,"5,1","23,2",kW,"5,7",kW,"4,1","11,6",kW,"47,8",kW,"5,6","6,5",kW,"39,3",kW,"6,1","12,4",kW,"35,6",kW,"6,2","128,3",%,"127,1",%,2 / 2,gradini,R410A,Meccanica,Assiali EC,Plug fan EC,G040,"40,45",kW,"108,0",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0101-057,A,5.7,m3/h,900.0,Pa,5.7,m3/h,650.0,Pa,5.7,m3/h,73.0,%,5.7,m3/h,"31,1",kW,"7,8",kW,"4,0","29,4",kW,"6,2",kW,"4,8","21,9",kW,"6,0",kW,"3,7","9,7",kW,"41,2",kW,"5,3","5,4",kW,"34,8",kW,"5,7","10,4",kW,"32,3",kW,"5,4","141,4",%,"140,6",%,1/1,inverter,R410A,Elettronica,Assiali EC,Plug fan EC,G040,"40,45",kW,"105,5",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,091-051,A,5.1,m3/h,1.0,Pa,5.1,m3/h,600.0,Pa,5.1,m3/h,73.0,%,5.1,m3/h,"24,9",kW,"5,7",kW,"4,4","21,9",kW,"4,2",kW,"5,2","16,2",kW,"3,9",kW,"4,2","8,7",kW,"33,9",kW,"6,0","4,8",kW,"26,7",kW,"6,3","9,3",kW,"25,5",kW,"6,6","145,2",%,"139,9",%,1/1,inverter,R410A,Elettronica,Assiali EC,Plug fan EC,G040,"40,45",kW,"105,5",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,061-035,A,3.5,m3/h,850.0,Pa,3.5,m3/h,600.0,Pa,3.5,m3/h,73.0,%,3.5,m3/h,"18,7",kW,"4,6",kW,"4,1","16,3",kW,"3,3",kW,"5,0","11,8",kW,"2,9",kW,"4,1","6,0",kW,"24,9",kW,"5,4","3,3",kW,"19,6",kW,"6,0","6,4",kW,"18,2",kW,"6,3","157,1",%,"151,4",%,1/1,inverter,R410A,Elettronica,Assiali EC,Plug fan EC,G040,"40,45",kW,"105,5",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
